film_name;film_time_min;country;main_roles;genre;director;rating;url;film_year
Тайны дворцовых переворотов. Россия, век XVIII. Фильм 2. Завещание императрицы;84;Россия;Наталья Егорова, Сергей Шакуров;драма,история;Светлана Дружинина;7.8;https://www.kinopoisk.ru//film/447696/sr/1/;2000
Море, которое мыслит;100;Нидерланды;Барт Клевер, Девика Строкер;фэнтези,драма,комедия;Герт де Грааф;7.8;https://www.kinopoisk.ru//film/105082/sr/1/;2000
Человек-невидимка (сериал);43;США;Винсент Вентреска, Пол Бен-Виктор;фантастика,боевик,триллер;Майкл Гроссман;7.7;https://www.kinopoisk.ru//film/251610/sr/1/;2000
Солнце Ацтеков;99;Германия;Мориц Бляйбтрой, Кристиана Пауль;мелодрама,комедия,приключения;Фатих Акин;7.7;https://www.kinopoisk.ru//film/47400/sr/1/;2000
Малкольм в центре внимания (сериал);22;США;Фрэнки Муниз, Брайан Крэнстон;комедия,семейный;Тодд Холлэнд;7.7;https://www.kinopoisk.ru//film/255370/sr/1/;2000
Эксперимент;120;Германия;Мориц Бляйбтрой, Кристиан Беркель;триллер,драма;Оливер Хиршбигель;7.7;https://www.kinopoisk.ru//film/663/sr/1/;2000
Девять ярдов;98;США;Брюс Уиллис, Мэттью Перри;комедия,криминал;Джонатан Линн;7.7;https://www.kinopoisk.ru//film/883/sr/1/;2000
Семьянин;125;США;Николас Кейдж, Теа Леони;фэнтези,драма,мелодрама;Бретт Рэтнер;7.7;https://www.kinopoisk.ru//film/664/sr/1/;2000
Тайны дворцовых переворотов. Россия, век XVIII. Фильм 1. Завещание императора;80;Россия;Наталья Егорова, Сергей Шакуров;драма,история;Светлана Дружинина;7.7;https://www.kinopoisk.ru//film/40743/sr/1/;2000
Люди Икс;105;США;Хью Джекман, Патрик Стюарт;фантастика,боевик,приключения;Брайан Сингер;7.7;https://www.kinopoisk.ru//film/886/sr/1/;2000
Чего хотят женщины;127;США;Мэл Гибсон, Хелен Хант;мелодрама,комедия,фэнтези;Нэнси Майерс;7.7;https://www.kinopoisk.ru//film/880/sr/1/;2000
Если бы эти стены могли говорить 2 (ТВ);96;США;Ванесса Редгрейв, Мишель Уильямс;драма,мелодрама;Джейн Андерсон;7.7;https://www.kinopoisk.ru//film/77330/sr/1/;2000
Гармонии Веркмейстера;145;Венгрия;Ларс Рудольф, Петер Фиц;драма,детектив;Бела Тарр;7.7;https://www.kinopoisk.ru//film/50377/sr/1/;2000
Просто вопрос любви (ТВ);88;Франция;Сирилл Тувенин, Стефан Гуэрин-Тилли;драма,мелодрама;Кристиан Фор;7.7;https://www.kinopoisk.ru//film/338477/sr/1/;2000
Приключения Джеки Чана (сериал);22;США;Джеки Чан, Джеймс Си;мультфильм,фэнтези,боевик;Кристофер Беркли;7.7;https://www.kinopoisk.ru//film/181548/sr/1/;2000
Динозавр;82;США;Элфри Вудард, Осси Дэвис;мультфильм,триллер,приключения;Эрик Лейтон;7.7;https://www.kinopoisk.ru//film/652/sr/1/;2000
Царь сновидений (видео);75;США;Бен Аффлек, Марк Хэмилл;мультфильм,мюзикл,драма;Роб ЛаДука;7.6;https://www.kinopoisk.ru//film/77313/sr/1/;2000
Почти знаменит;123;США;Патрик Фьюджит, Билли Крудап;драма,комедия,приключения;Кэмерон Кроу;7.6;https://www.kinopoisk.ru//film/454/sr/1/;2000
Любовь и баскетбол;124;США;Омар Эппс, Санаа Лэтэн;драма,мелодрама,спорт;Джина Принс-Байтвуд;7.6;https://www.kinopoisk.ru//film/742/sr/1/;2000
Такси 2;88;Франция;Сами Насери, Фредерик Дифенталь;боевик,комедия,криминал;Жерар Кравчик;7.6;https://www.kinopoisk.ru//film/854/sr/1/;2000
Брат якудзы;114;США;Такеши Китано, Омар Эппс;драма,криминал,триллер;Такеши Китано;7.6;https://www.kinopoisk.ru//film/624/sr/1/;2000
Луной был полон сад;105;Россия;Николай Волков мл., Зинаида Шарко;мелодрама;Виталий Мельников;7.6;https://www.kinopoisk.ru//film/41303/sr/1/;2000
